seg_id,district
SEG_a107a2deed,THANJAVUR
SEG_831260d559,THANJAVUR
SEG_0c14563ccc,THANJAVUR
SEG_f09bf461a1,NAGAPATTINAM
SEG_f367f880fa,NAGAPATTINAM
SEG_16091fa305,NAGAPATTINAM
SEG_f41ee34982,THANJAVUR
SEG_db0b574a04,THANJAVUR
SEG_d05f02cb3b,THANJAVUR
SEG_ff3b766f92,THANJAVUR
SEG_c001e2bcfb,THANJAVUR
SEG_6d79787896,THANJAVUR
SEG_cfb67c9b11,NAGAPATTINAM
SEG_2ea535a77d,NAGAPATTINAM
SEG_b572882c7a,NAGAPATTINAM
SEG_cf7a4bc4a9,THANJAVUR
SEG_b26adbc777,KARAIKAL
SEG_a20aafd3e7,NAGAPATTINAM
SEG_6886dc9bd8,ARIYALUR
SEG_9360da2bf8,PERAMBALUR
SEG_d46a4290d7,NAGAPATTINAM
SEG_d679146ff3,NAGAPATTINAM
SEG_56c30d5bd9,NAGAPATTINAM
SEG_b49bb2b945,NAGAPATTINAM
SEG_2db2b6da26,NAGAPATTINAM
SEG_a9a7c9885b,NAGAPATTINAM
SEG_9dd6d18016,NAGAPATTINAM
SEG_48cd67b02a,NAGAPATTINAM
SEG_aba59b9ccb,NAGAPATTINAM
SEG_1af19aad7a,NAGAPATTINAM
SEG_6d5781a3cc,NAGAPATTINAM
SEG_ac718aee67,NAGAPATTINAM
SEG_8a7b88e73a,NAGAPATTINAM
SEG_e51fe24343,NAGAPATTINAM
SEG_c8df187437,THANJAVUR
SEG_b752f65eb6,NAGAPATTINAM
SEG_110ace91be,NAGAPATTINAM
SEG_2b9ab5cfcb,THANJAVUR
SEG_6b78e61ffc,NAGAPATTINAM
SEG_6904caf87c,NAGAPATTINAM
SEG_af4a32ce49,NAGAPATTINAM
SEG_e1c0cee591,THANJAVUR
SEG_20a491e39f,PERAMBALUR
SEG_73bd0c95cf,PERAMBALUR
SEG_791b502d57,TIRUCHCHIRAPPALLI
SEG_5e445d40db,TIRUCHCHIRAPPALLI
SEG_27ddd06746,PERAMBALUR
SEG_d2581917cd,PERAMBALUR
SEG_f326323f7b,PERAMBALUR
SEG_420b74e666,THANJAVUR
SEG_c59dfce6e5,TIRUCHCHIRAPPALLI
SEG_0f9c2008ec,TIRUCHCHIRAPPALLI
SEG_92341aab18,TIRUCHCHIRAPPALLI
SEG_35c195ad1a,TIRUCHCHIRAPPALLI
SEG_1e0921936b,NAGAPATTINAM
SEG_179e65be34,NAGAPATTINAM
SEG_f6a53a9b37,NAGAPATTINAM
SEG_a495622dcc,NAGAPATTINAM
SEG_b14faec3fd,CUDDALORE
SEG_46e988901b,CUDDALORE
SEG_b57e8d83e0,CUDDALORE
SEG_00e9b8149a,NAGAPATTINAM
SEG_3d27a8b357,NAGAPATTINAM
SEG_f65fa29f59,NAGAPATTINAM
SEG_1825a3793b,NAGAPATTINAM
SEG_3b950c9dec,NAGAPATTINAM
SEG_8b919ff26c,NAGAPATTINAM
SEG_d6113365f2,NAGAPATTINAM
SEG_d9084f458f,NAGAPATTINAM
SEG_781380535a,THANJAVUR
SEG_87f31ef1c9,THANJAVUR
SEG_7f8d5c6b77,CUDDALORE
SEG_7896b67d3c,NAGAPATTINAM
SEG_064542efc8,NAGAPATTINAM
SEG_03bd7cb236,NAGAPATTINAM
SEG_211a230cdb,TIRUCHCHIRAPPALLI
SEG_25c908c020,THANJAVUR
SEG_d703f4c9a0,THANJAVUR
SEG_96df9099ec,THANJAVUR
SEG_222c0e3d70,THANJAVUR
SEG_f2fafdf6e9,THANJAVUR
SEG_a1c305460e,THANJAVUR
SEG_83c2fdf8de,THANJAVUR
SEG_da34fcab83,THANJAVUR
SEG_e2bc7d7ff0,THANJAVUR
SEG_401afa7a54,THANJAVUR
SEG_3e35ae4113,CUDDALORE
